Name,Cuisine,Award
ES:SENZ,"Creative, Modern Cuisine",3 Stars
Tohru in der Schreiberei,"Modern Cuisine, Japanese Contemporary",3 Stars
Schwarzwaldstube,"Classic French, Creative",3 Stars
Victor's Fine Dining by christian bau,"Creative, Contemporary",3 Stars
Aqua,"Creative, Modern Cuisine",3 Stars
schanz. restaurant.,"Modern French, Creative",3 Stars
Restaurant Haerlin,"Creative French, Classic Cuisine",3 Stars
The Table Kevin Fehling,"Creative, International",3 Stars
Waldhotel Sonnora,Classic French,3 Stars
JAN,"Creative, Modern Cuisine",3 Stars
Restaurant Bareiss,"Classic French, Seasonal Cuisine",3 Stars
Rutz,"Modern Cuisine, Creative",3 Stars
Maaemo,Creative,3 Stars
RE-NAA,"Creative, Seafood",3 Stars
Frantzén,Creative,3 Stars
Jordnær,Creative,3 Stars
Geranium,"Creative, Contemporary",3 Stars
Hiša Franko,"Creative, Regional Cuisine",3 Stars
Trèsind Studio,Indian,3 Stars
,,
,,
,,
Chefs Atelier,"Creative, Seasonal Cuisine",1 Star
FZN by Björn Frantzén,Modern Cuisine,3 Stars
Boury,Creative French,3 Stars
Zilte,Creative,3 Stars
Le Louis XV - Alain Ducasse à l'Hôtel de Paris,"Mediterranean Cuisine, Modern Cuisine",3 Stars
L'Ambroisie,Classic Cuisine,3 Stars
Flocons de Sel,Modern Cuisine,3 Stars
Épicure,Modern Cuisine,3 Stars
Arpège,Creative,3 Stars
Le Pré Catelan,"Creative, Contemporary",3 Stars
Le Cinq,Modern Cuisine,3 Stars
Le Petit Nice,Seafood,3 Stars
Kei,"Modern Cuisine, Creative",3 Stars
L'Oustau de Baumanière,Creative,3 Stars
Plénitude - Cheval Blanc Paris,Creative,3 Stars
AM par Alexandre Mazzia,Creative,3 Stars
Pic,Creative,3 Stars
Maison Lameloise,Modern Cuisine,3 Stars
Le Coquillage,"Creative, Seafood",3 Stars
Restaurant Marcon,Creative,3 Stars
Pierre Gagnaire,Creative,3 Stars
La Vague d'Or - Cheval Blanc St-Tropez,Creative,3 Stars
Christopher Coutanceau,"Seafood, Modern Cuisine",3 Stars
Troisgros - Le Bois sans Feuilles,Creative,3 Stars
La Marine,"Creative, Seafood",3 Stars
Le Clos des Sens,Creative,3 Stars
La Villa Madie,Creative,3 Stars
Assiette Champenoise,"Creative, Modern Cuisine",3 Stars
Mirazur,Creative,3 Stars
Les Prés d'Eugénie - Michel Guérard,Classic Cuisine,3 Stars
Auberge du Vieux Puits,Creative,3 Stars
Alléno Paris au Pavillon Ledoyen,Creative,3 Stars
Le 1947 à Cheval Blanc,Creative,3 Stars
HAJIME,Innovative,3 Stars
Taian,Japanese,3 Stars
Mizai,Japanese,3 Stars
Gion Sasaki,Japanese,3 Stars
Isshisoden Nakamura,Japanese,3 Stars
Kashiwaya Osaka Senriyama,Japanese,3 Stars
Hyotei,Japanese,3 Stars
