Source,Target
0,15341
0,15342
1,15342
1,15343
2,15344
2,15341
3,15341
3,15345
12255,15341
12255,15342
5,15346
5,15341
6,15347
6,15348
7,15341
7,15349
8,15344
1254,15341
1254,15342
10,15344
10,15350
11,15342
11,15341
12,15341
13,15341
13,15351
14,15341
15,15341
16,15341
16,15345
17,15341
17,15352
18,15353
19,15342
19,15354
20,15352
21,15355
21,15352
22,15341
22,15350
23,15342
24,15347
25,15341
26,15356
26,15342
27,15348
28,15342
29,15342
30,15341
31,15341
31,15345
32,15342
33,15351
9308,15342
9308,15341
35,15341
36,15341
37,15341
38,15341
7472,15342
40,15341
40,15351
41,15341
6256,15341
43,15341
44,15351
44,15342
45,15341
46,15341
46,15351
47,15341
48,15341
49,15341
49,15342
50,15341
51,15348
52,15341
53,15341
54,15341
55,15357
56,15358
57,15358
58,15358
59,15358
60,15358
61,15358
62,15358
63,15357
64,15359
65,15359
7460,15360
67,15361
68,15360
1600,15362
70,15360
71,15359
72,15363
73,15341
73,15345
74,15341
74,15345
75,15341
75,15345
76,15342
76,15364
77,15342
77,15341
78,15342
78,15341
79,15342
79,15341
3017,15347
3017,15349
81,15359
81,15348
82,15341
82,15342
83,15342
83,15341
84,15365
84,15341
85,15341
85,15342
86,15341
86,15342
87,15341
87,15342
9569,15344
9616,15341
9616,15350
90,15346
90,15366
91,15346
91,15345
92,15342
92,15347
13627,15344
13627,15350
94,15342
94,15348
95,15346
95,15341
96,15341
96,15364
97,15342
97,15345
98,15341
98,15342
99,15342
99,15344
100,15344
13498,15348
13498,15341
102,15357
102,15355
103,15342
104,15346
104,15341
105,15342
105,15341
106,15341
106,15357
107,15344
107,15348
108,15341
108,15345
109,15348
110,15341
110,15357
111,15367
111,15368
112,15341
112,15344
113,15356
113,15341
114,15341
114,15342
115,15341
116,15341
116,15345
117,15341
118,15348
118,15342
13679,15347
13679,15349
120,15341
120,15352
121,15341
122,15341
123,15341
13501,15341
125,15341
126,15342
126,15369
127,15341
128,15341
129,15346
129,15350
130,15345
131,15370
132,15342
133,15348
134,15341
134,15352
135,15341
136,15371
136,15342
137,15371
137,15345
138,15354
139,15362
140,15341
141,15341
142,15357
143,15358
144,15358
145,15358
146,15341
147,15342
147,15372
148,15341
10905,15342
10905,15357
150,15341
151,15373
152,15354
152,15342
153,15341
153,15368
154,15342
154,15354
155,15341
155,15342
156,15346
156,15342
157,15342
157,15354
158,15374
158,15354
159,15344
159,15374
160,15341
161,15341
161,15342
162,15342
163,15346
164,15341
164,15342
165,15346
165,15341
4281,15341
167,15346
168,15342
169,15341
170,15341
170,15346
8078,15368
8078,15341
172,15354
172,15345
173,15358
173,15345
174,15341
175,15341
175,15342
176,15341
176,15342
177,15342
178,15342
179,15341
180,15358
181,15348
182,15341
182,15342
183,15342
184,15341
2903,15342
186,15341
187,15342
188,15341
189,15348
190,15348
191,15341
192,15348
193,15341
194,15341
195,15341
196,15358
197,15341
197,15342
198,15341
199,15342
200,15342
201,15341
202,15341
203,15342
204,15341
205,15342
206,15356
207,15341
207,15342
208,15342
209,15341
209,15342
210,15342
4449,15341
212,15342
213,15341
214,15342
215,15342
216,15341
12745,15341
218,15342
218,15341
219,15341
220,15348
221,15341
222,15341
223,15341
224,15341
224,15342
225,15342
226,15341
226,15352
227,15341
227,15342
228,15342
229,15341
230,15348
231,15342
232,15342
232,15341
233,15342
234,15342
234,15341
235,15342
236,15342
237,15341
238,15342
239,15342
