Id,Label,Type
0,ES:SENZ,Restaurant
1,Tohru in der Schreiberei,Restaurant
2,Schwarzwaldstube,Restaurant
3,Victor's Fine Dining by christian bau,Restaurant
4,Aqua,Restaurant
5,schanz. restaurant.,Restaurant
6,Restaurant Haerlin,Restaurant
7,The Table Kevin Fehling,Restaurant
8,Waldhotel Sonnora,Restaurant
9,JAN,Restaurant
10,Restaurant Bareiss,Restaurant
11,Rutz,Restaurant
12,Maaemo,Restaurant
13,RE-NAA,Restaurant
14,Frantzén,Restaurant
15,Jordnær,Restaurant
16,Geranium,Restaurant
17,Hiša Franko,Restaurant
18,Trèsind Studio,Restaurant
19,Grande Étoile,Restaurant
20,Goldener Engel,Restaurant
21,Chiemgauhof,Restaurant
22,Chefs Atelier,Restaurant
23,FZN by Björn Frantzén,Restaurant
24,Boury,Restaurant
25,Zilte,Restaurant
26,Le Louis XV - Alain Ducasse à l'Hôtel de Paris,Restaurant
27,L'Ambroisie,Restaurant
28,Flocons de Sel,Restaurant
29,Épicure,Restaurant
30,Arpège,Restaurant
31,Le Pré Catelan,Restaurant
32,Le Cinq,Restaurant
33,Le Petit Nice,Restaurant
34,Kei,Restaurant
35,L'Oustau de Baumanière,Restaurant
36,Plénitude - Cheval Blanc Paris,Restaurant
37,AM par Alexandre Mazzia,Restaurant
38,Pic,Restaurant
39,Maison Lameloise,Restaurant
40,Le Coquillage,Restaurant
41,Restaurant Marcon,Restaurant
42,Pierre Gagnaire,Restaurant
43,La Vague d'Or - Cheval Blanc St-Tropez,Restaurant
44,Christopher Coutanceau,Restaurant
45,Troisgros - Le Bois sans Feuilles,Restaurant
46,La Marine,Restaurant
47,Le Clos des Sens,Restaurant
48,La Villa Madie,Restaurant
49,Assiette Champenoise,Restaurant
50,Mirazur,Restaurant
51,Les Prés d'Eugénie - Michel Guérard,Restaurant
52,Auberge du Vieux Puits,Restaurant
53,Alléno Paris au Pavillon Ledoyen,Restaurant
54,Le 1947 à Cheval Blanc,Restaurant
55,HAJIME,Restaurant
56,Taian,Restaurant
57,Mizai,Restaurant
58,Gion Sasaki,Restaurant
59,Isshisoden Nakamura,Restaurant
60,Kashiwaya Osaka Senriyama,Restaurant
61,Hyotei,Restaurant
62,Kikunoi Honten,Restaurant
63,Ta Vie,Restaurant
64,Caprice,Restaurant
65,Robuchon au Dôme,Restaurant
66,T'ang Court,Restaurant
67,Sushi Shikon,Restaurant
68,Jade Dragon,Restaurant
69,8 1/2 Otto e Mezzo - Bombana,Restaurant
70,Forum,Restaurant
71,Amber,Restaurant
72,Mingles,Restaurant
73,Steirereck im Stadtpark,Restaurant
74,Amador,Restaurant
75,ATAMA by Martin Stopp,Restaurant
76,IKIGAI,Restaurant
77,Ox & Klee,Restaurant
78,Gotthardt's by Yannick Noack,Restaurant
79,OPUS V,Restaurant
80,Ophelia,Restaurant
81,Tantris,Restaurant
82,Alois - Dallmayr Fine Dining,Restaurant
83,sein,Restaurant
84,Intense,Restaurant
85,Jante,Restaurant
86,Votum,Restaurant
87,100/200 Kitchen,Restaurant
88,Le Cerf,Restaurant
89,Hirschen,Restaurant
90,LOUIS restaurant,Restaurant
91,Oswald's Gourmetstube,Restaurant
92,Gourmetrestaurant Dichter,Restaurant
93,Le Pavillon,Restaurant
94,Ösch Noir,Restaurant
95,Coeur D'Artichaut,Restaurant
96,Pietsch,Restaurant
97,PUR,Restaurant
98,AURA by Alexander Herrmann & Tobias Bätz,Restaurant
99,ammolite - The Lighthouse Restaurant,Restaurant
100,GästeHaus Klaus Erfort,Restaurant
101,Esplanade,Restaurant
102,Essigbrätlein,Restaurant
103,Lakeside,Restaurant
104,Lafleur,Restaurant
105,Söl'ring Hof,Restaurant
106,Speisemeisterei,Restaurant
107,Steinheuers Restaurant,Restaurant
108,Obendorfers Eisvogel,Restaurant
109,Meierei Dirk Luther,Restaurant
110,CODA Dessert Dining,Restaurant
111,Tim Raue,Restaurant
112,Vendôme,Restaurant
113,bianc,Restaurant
114,L.A. Jordan,Restaurant
115,Horváth,Restaurant
116,FACIL,Restaurant
117,AUGUST,Restaurant
118,KOMU,Restaurant
119,Atelier,Restaurant
120,etz,Restaurant
121,PAZ,Restaurant
122,Alchemist,Restaurant
123,a|o|c,Restaurant
124,Signum,Restaurant
125,Koan,Restaurant
126,AIRA,Restaurant
127,Frederikshøj,Restaurant
128,Kadeau Copenhagen,Restaurant
129,Kong Hans Kælder,Restaurant
130,Vollmers,Restaurant
131,Kontrast,Restaurant
132,Palace,Restaurant
133,Henne Kirkeby Kro,Restaurant
134,Milka,Restaurant
135,Bottiglieria 1881,Restaurant
136,Pujol,Restaurant
137,Quintonil,Restaurant
138,STAY by Yannick Alléno,Restaurant
139,Il Ristorante-Niko Romito,Restaurant
140,Row on 45,Restaurant
141,Tanière³,Restaurant
142,akordu,Restaurant
143,Oryori Hanagaki,Restaurant
144,Tsukumo,Restaurant
145,NARA NIKON,Restaurant
146,Oro,Restaurant
147,Evvai,Restaurant
148,D.O.M.,Restaurant
149,Lasai,Restaurant
150,Tuju,Restaurant
151,Ru Yuan,Restaurant
152,Maison Colette,Restaurant
153,Hertog Jan at Botanic,Restaurant
154,La Table de Maxime,Restaurant
